epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.604,0.69916,3.4156,1.10869,0.30223,0.45624,0.31439,0.28607,0.4233,2.44277,0.85729,0.000194296,0.000194296,0.000194296
2,254.738,0.77834,2.4267,1.16355,0.52006,0.61835,0.586,0.49367,0.5315,1.902,0.94675,0.000382568,0.000382568,0.000382568
3,380.705,0.78247,1.82503,1.13584,0.7116,0.69848,0.75121,0.63568,0.57469,1.45592,0.94093,0.000563078,0.000563078,0.000563078
4,517.848,0.73458,1.59229,1.10866,0.74586,0.69586,0.76796,0.64062,0.48821,1.37729,0.89613,0.000553073,0.000553073,0.000553073
5,648.954,0.71781,1.41917,1.1007,0.79155,0.82594,0.86683,0.75887,0.44611,1.11315,0.87612,0.00054143,0.00054143,0.00054143
6,772.374,0.67257,1.25898,1.07043,0.84438,0.85991,0.9075,0.81207,0.42245,0.95323,0.86223,0.000529788,0.000529788,0.000529788
7,905.436,0.65478,1.178,1.05581,0.84224,0.83169,0.88543,0.77902,0.40329,0.96803,0.85323,0.000518146,0.000518146,0.000518146
8,1045.38,0.63198,1.13994,1.04841,0.83146,0.88206,0.91249,0.7955,0.38505,0.8972,0.84572,0.000506503,0.000506503,0.000506503
9,1178.75,0.62951,1.072,1.04382,0.92735,0.83008,0.94435,0.8503,0.38625,0.80437,0.84089,0.000494861,0.000494861,0.000494861
10,1309.56,0.63085,1.00086,1.04499,0.9177,0.86016,0.94127,0.84485,0.39553,0.78596,0.85157,0.000483218,0.000483218,0.000483218
11,1440,0.60449,0.95309,1.035,0.93907,0.88297,0.94906,0.84979,0.39823,0.72691,0.84292,0.000471576,0.000471576,0.000471576
12,1568.13,0.60228,0.94826,1.03064,0.92621,0.91028,0.94704,0.85444,0.36096,0.71184,0.83345,0.000459934,0.000459934,0.000459934
13,1698.79,0.59866,0.91479,1.02979,0.91979,0.88389,0.93574,0.84123,0.35738,0.69046,0.82854,0.000448291,0.000448291,0.000448291
14,1836.21,0.5779,0.86718,1.02024,0.88475,0.88832,0.93239,0.82699,0.34944,0.71287,0.8349,0.000436649,0.000436649,0.000436649
15,1965.32,0.57583,0.85379,1.02165,0.92196,0.92163,0.96375,0.87062,0.34854,0.63079,0.82727,0.000425006,0.000425006,0.000425006
16,2085.08,0.55258,0.82414,1.0103,0.94679,0.90851,0.96013,0.85815,0.34082,0.60098,0.82687,0.000413364,0.000413364,0.000413364
17,2206.79,0.55387,0.77283,1.01153,0.91488,0.91725,0.95833,0.86207,0.33375,0.59295,0.82478,0.000401722,0.000401722,0.000401722
18,2329.98,0.54076,0.77335,1.00785,0.93247,0.95496,0.96951,0.87093,0.32474,0.57607,0.8171,0.000390079,0.000390079,0.000390079
19,2462.81,0.55041,0.73724,1.00879,0.9516,0.90859,0.96222,0.8659,0.34015,0.57639,0.82802,0.000378437,0.000378437,0.000378437
20,2600.85,0.55384,0.74064,1.00978,0.9434,0.91588,0.96887,0.87664,0.31205,0.54749,0.81695,0.000366794,0.000366794,0.000366794
21,2729.42,0.53298,0.72371,0.99981,0.96198,0.89927,0.97033,0.88709,0.32418,0.52768,0.81511,0.000355152,0.000355152,0.000355152
22,2854.36,0.52708,0.71013,0.99176,0.95915,0.93408,0.97204,0.88862,0.30959,0.51992,0.81261,0.00034351,0.00034351,0.00034351
23,2982.6,0.53289,0.70036,0.99797,0.94563,0.92558,0.9721,0.89287,0.30237,0.52668,0.80782,0.000331867,0.000331867,0.000331867
24,3115.19,0.52202,0.68626,0.98673,0.94348,0.93738,0.97467,0.88685,0.31708,0.49727,0.81586,0.000320225,0.000320225,0.000320225
25,3236.43,0.5209,0.66373,0.99243,0.9596,0.93918,0.97725,0.88996,0.30003,0.47981,0.80742,0.000308582,0.000308582,0.000308582
26,3364.28,0.50944,0.64131,0.98441,0.95355,0.94444,0.97304,0.89614,0.29122,0.46717,0.80443,0.00029694,0.00029694,0.00029694
27,3490.17,0.48542,0.61664,0.96922,0.96675,0.92858,0.97523,0.8994,0.29644,0.45117,0.80671,0.000285298,0.000285298,0.000285298
28,3605.65,0.48862,0.62754,0.98156,0.9528,0.93219,0.97181,0.89372,0.3016,0.45012,0.80659,0.000273655,0.000273655,0.000273655
29,3722.21,0.50232,0.60343,0.98107,0.95378,0.94679,0.97572,0.90649,0.28668,0.44525,0.80256,0.000262013,0.000262013,0.000262013
30,3835.48,0.49042,0.58938,0.98208,0.95621,0.94812,0.97584,0.90672,0.29058,0.43282,0.80362,0.00025037,0.00025037,0.00025037
31,3948.51,0.49725,0.59613,0.98334,0.95311,0.95123,0.97464,0.89968,0.28234,0.42065,0.80089,0.000238728,0.000238728,0.000238728
32,4071.77,0.49182,0.58033,0.97902,0.94597,0.94846,0.9756,0.90302,0.26834,0.42771,0.80029,0.000227086,0.000227086,0.000227086
33,4202.82,0.47059,0.56913,0.97203,0.96097,0.94877,0.97737,0.91111,0.26937,0.41314,0.79734,0.000215443,0.000215443,0.000215443
34,4338.13,0.46265,0.54867,0.97233,0.95471,0.94966,0.97695,0.90304,0.27565,0.41272,0.79804,0.000203801,0.000203801,0.000203801
